;Unnamed: 0;Nom;Type;Description;Produit(s);Détails produits;Détails conditionnement;Productions éligibles loi EGalim;Label(s);Autres(s) label(s);Agrément sanitaire;Mode de distribution;Lieu(x) de distribution;Zone de livraison possible;Détails distribution;Restauration collective;Commentaires;Contact(s);Adresse;Commune;Intercommunalité;Délégation;Mail;Site internet;Téléphone (1);Téléphone (2);x;y
52;54;SCEA Entre Chèvres et Choux;Producteur;Elevage caprin Bio et transformation de produits laitiers;Produits laitiers de chèvre (yaourts, fromage blanc, riz au lait, fromage lactique, tomme, cabriochon..);Fromage frais et affinées, fromage blanc, yaourt / ;;OUI;"ABeuro;ABfrance;";;Détenteur d'une dérogation;Vente directe;;15km;;J'approvisionne actuellement la restauration collective;;Sabrina Leveau;38 route du Cromlech;Saint-Nazaire;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;entrechevresetchoux@gmail.com;www.facebook.com/entrechevresetchoux;06 33 24 00 15;;47.2475286;-2.2903199
53;55;FL 44 Fruits et Légumes;Distributeur;Grossiste en fruits et légumes;Fruits, légumes, œufs, céréales.;Tous les fruits de saison (et bananes provenant des Antilles françaises) / Tous les légumes de saison / Produits laitiers / Œufs de st hilaire de clisson Gaec de l'eau vive / Céréales petits déjeuners biologiques le grillon / ;;OUI;"ABeuro;IGP;AOP;ABfrance;AOC;";;Non concerné;Vente directe;;150km;;J'approvisionne actuellement la restauration collective;;Christophe GRANDET;Rue Thomas Adison - ZAC de Brais;Saint-Nazaire;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;christophe.grandet@bouyer-guindon.fr;;02 40 01 78 78;;47.28818057247795;-2.2948339374774784
54;56;Les Hameaux Bio;Distributeur;;Fruits, légumes, produits laitiers, viande, pain, céréales, autre.;"Fruits / Légumes / Produits laitiers / Produits de l'aquaculture / Œufs / Céréales / Pain / Légumineuses, Oléagineux, Café, thé, Infusions 
 / ";;OUI;"ABeuro;ABfrance;";;Non renseigné;Non renseigné;;Non renseigné;;J'approvisionne actuellement la restauration collective;;Eric LE BIHAN;89 rue Jean Jaurès;Saint-Nazaire;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;rc.hbst@leshameauxbio.fr ;;02 40 66 59 69;;47.280115;-2.2156149
55;57;Merveilleux;Producteur;;biscuits meringue pour base  dessert;;;NON;;;Non renseigné;Non renseigné;;Non renseigné;;Non renseigné;;Cyril Champiot;;Saint-Nazaire;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;;;;;47.26428227370998;-2.2668324767276986
56;58;SAS Magasin Fermier;Producteur;Elevage bovin et transformation de produit laitiers;Fruits, légumes, viande bovine;Pommes, poires / Pomme de terre, carottes, salades, poireaux etc / Bourguignon, steack haché, pot au feu, bifteck / ;;NON;;;Non concerné;Vente directe;;50km;;Je souhaite approvisionner la restauration collective;;Annie BOUYER;2 La Basse Goguillais;Saint-Père-En-Retz;CC du Sud-Estuaire;Délégation pays de Retz;goguillais@wanadoo.fr;;06 79 68 46 22;;47.2625078;-2.0537838
57;59;GAEC de la Forêt;Producteur;Fabrication de galettes de blé noir;Galettes de blé noir;Galettes de blé noir / ;;NON;;;Non concerné;Vente directe;;25km;;Je souhaite approvisionner la restauration collective, ultérieurement;;Florence LE DOUARIN;La Forêt;Savenay;CC Estuaire et Sillon;Délégation Saint-Nazaire;floledouarin@yahoo.fr;;06 66 15 11 94;;47.3486501;-1.9596729
58;60;Ferme des Buttes;Producteur;Production maraîchère Bio;Légumes;"(1) Carottes
(2) Pomme de terre
(3) Panais
(4) Oignon
(5) Courge / ";;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe et via intermédiaire(s);;100km;MangerBio44;J'approvisionne actuellement la restauration collective;;Jonhatan et Florentine France;Les Buttes;Sévérac;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;florentinevn@live.fr;;06 18 63 45 76;06 82 55 93 48;47.537889310148245;-2.044548189156694
59;61;EARL du Sillon;Producteur;Producteur de viande bovine, label rouge;viande bovine;Viande de bœuf (Charolais) / ;;OUI;"LR;";;Non renseigné;Vente directe;;50km;;Je souhaite approvisionner la restauration collective;;Fabien Babin;5 La lande piletterie;Saint-Etienne-de-Montluc;CC Estuaire et Sillon;Délégation Saint-Nazaire;gaecdusillonbabin@orange.fr;;06 32 31 50 27;;47.27080156777089;-1.7368708505699968
60;62;SAS Clérault;Producteur;Boulangerie;Pain, viennoiserie, pâtisserie, produit de traiteur boulanger;Pain, viennoiserie, pâtisserie / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe;La Baule, Guérande, Pornichet, Pouliguen;15 km;;J'approvisionne actuellement la restauration collective;;Antoine CLERAULT, Anne-Laure Hours;14 avenue du marché;La Baule-Escoublac;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;boulangerie.clérault@gmail.com;;02 40 60 25 21;06 50 27 99 83;47.2852242;-2.3946369
61;63;EARL L'hirondelle;Producteur;Prodocteur de viande de bœuf et veau;Viande bœuf et de veau;Bœuf et veau / ;;OUI;"ABeuro;ABfrance;";;Détenteur d'une dérogation;Vente directe;Frossay;50km;;Je souhaite approvisionner la restauration collective;;Chaillou Mathieu;L'hirondelle;Frossay;CC du Sud-Estuaire;Délégation pays de Retz;hirondelledesrosiers@gmail.com;Facebook : @HirondelledesRosiers ;06 70 41 15 23;06 03 67 89 65;47.2310685;-1.9352292
62;64;GRANDJOUAN PAYSAN BOULANGER;Producteur et artisan;Producteur de pains;T80 kg ou 500G, pains aux graines (courge, sésame, tournesol, noix, noisette, abricot, figue, olive,), seigle, Epeautre, Tourtons (nature, chocolat, raisin);T80 kg ou 500G, pains aux graines (courge, sésame, tournesol, noix, noisette, abricot, figue, olive,), seigle, Epeautre, Tourtons (nature, chocolat, raisin) / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe et via intermédiaire(s);;40km;AMAP;Je souhaite approvisionner la restauration collective;;GRANDJOUAN Dominique;Mondalin;Saint-Viaud;CC du Sud-Estuaire;Délégation pays de Retz;painpaysan44@gmail.com;www.painpaysan44.sitew.fr;06 63 06 05 16;;47.2381082;-2.0143079
63;65;LE JARDIN DE LA COURANDIERE;Producteur;Producteur de légumes;Legumes de saison;Légumes de saison / ;;OUI;"ABfrance;";;Non concerné;Vente directe;;20km;;Je souhaite approvisionner la restauration collective;;GAUTHIER Stéphanie;LA COURANDIERE;Saint-Viaud;CC du Sud-Estuaire;Délégation pays de Retz;steph-je@hotmail.fr;;06 20 27 32 25;;47.2336555;-2.0086027
64;66;SAS La Petite Louinais;Producteur;Fruits et légumes;Kiwi et courge;Kiwi / Courge / ;;NON;;;Non concerné;Vente directe et via intermédiaire(s);;0 km;Les saveurs du vergers;J'approvisionne actuellement la restauration collective;;MERLET Anthony;La maison neuve;Frossay;CC du Sud-Estuaire;Délégation pays de Retz;lapetitelouinais@gmail.com;;06 20 96 73 80;;47.2294893;-1.9155229
65;67;La Biscuiterie de Vincent;Producteur;Biscuits;Biscuits sucrés;Biscuits sucrés / ;;NON;;;Détenteur d'une dérogation;Vente directe;;Non renseigné;;J'approvisionne actuellement la restauration collective;Presqu'île de Guérande, territoire de la CARENE et l'agglomération nantaise;DINAS Vincent;5 rue des Anoures;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;labiscuiteriedevincent@gmail.com;;06 45 68 73 29;;47.3258996;-2.4072719
66;68;Boulangerie Pâtisserie Raimbault;Producteur;Boulangerie, pâtisserie;Pains 400g, baguette, boule 400g;Pains 400g, baguette, boule 400g / ;;OUI;"ABeuro;ABfrance;LR;";CRC;Non concerné;Vente directe;;12 km;;J'approvisionne actuellement la restauration collective;;RAIMBAULT Stéphane;19 Place de l'église;Frossay;CC du Sud-Estuaire;Délégation pays de Retz;raimbault-stephane@orange.fr;;02 40 39 74 63;;47.2446782;-1.9339626
67;69;EARL Ranch des Piclendèches;Producteur;Viandes bovines;Viande bovine;Assortiment sous-vide;Cassette de 5 et 10 kg;;AB;ABeuro, ABFrance;oui;vente directe;;20 kms;;Je souhaite approvisionner la restauration collective;Notre viande est uniquement à l'herbe et paturage estive du marais de Brière, l'engraissement n'est pas poussé.;Florence MOUNINOU;22 Piclendèche;HERBIBGNAC;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;florencemouninou@hotmail.com;;07 62 92 42 75;;47.424975040393456;-2.2804179162960945
68;70;Ferme Préféretz;Producteur et artisan;Céréales, pâtes, huiles;Céréales, pâtes, huiles;Pâtes sèches (coquillettes, fusillis, tracteurs, tagliatelles, etc). Huile de tournesol, de colza;Pâtes en sacs variables en fonction du type de produit, 5 à 10 kg.  Huiles conditionnement 5 L;oui;HVE;Territoire couvert par PAT;;vente directe;;50 kms;;J'approvisionne actuellement la restauration collective;;Julien et Angélique VASSEUR;5 Le Bois Rouaud;SAINT-PERE-EN-RETZ;CC du Sud-Estuaire;Délégation pays de Retz;preferetz@gmail.com;Ferme Préféretz (instagram et Facebook);06 08 28 77 61;;47.2630659;-2.0225817
69;71;Etin'Sel;Producteur et artisan;Producteur de sel;Autre, épicerie;Fleur de sel de Guérande, Sel de Guérande, sels aromatisés;Entre 125g et 25kg;Oui;IGP;;;Directe;;;;Je souhaite approvisionner la restauration collective;;CHEVRIER Fabien;9 Rue des Jardins de Domhéry;Guérande;CA de la Presqu'île de Guérande;Saint-Nazaire;contact@etinselguerande.com;www.etinselguerande.com;643049424;;47.3601205;-2.4341573
70;72;Le bio garde manger;Producteur et distributeur;Production maraîchère Bio;Légumes de saison diversifiés;;;;"ABeuro;ABfrance";;;vente directe;;;;Je souhaite approvisionner la restauration collective;;GALLET Florian;La Berrie;Prinquiau;CC Estuaire et Sillon;Délégation Saint-Nazaire;galletfloran@laposte.net;https://www.lebiogardemanger.fr;06 32 50 62 85;;47.401409;-2.0331808
71;73;BRETECHER Anthony;Producteur;Viande bovine;Viande bovine blondes d'Aquitaine et charolaises;Viande bovine blondes d'Aquitaine et charolaises;Non renseigné;Non renseigné;Non renseigné;Non renseigné;Non renseigné;Vente directe et via intermédiaire(s);Marchand de bestiaux privé;Non renseigné;Non renseigné;Je souhaite approvisionner la restauration collective;;BRETECHER Anthony;35 La Clunais;Saint-Etienne-de-Montluc;CC Estuaire et Sillon;Saint-Nazaire;c_anthony44@hotmail.fr;;06 42 34 34 95;;47.2703173;-1.7669361662228678
72;74;GAEC de la Griffolet;Producteur;Viande bovine;Viande bovine;Viande bovine blondes d'Aquitaine/limousines/charolaises;Non renseigné;;;;Non renseigné;;;;;;;SORIN Vincent;La Griffolet;Saint-Etienne-de-Montluc;CC Estuaire et Sillon;Saint-Nazaire;sorin.vincent44@gmail.com;;06 89 75 79 66;;47.25619855206523;-1.7747705797407494
